,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
93,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,67.0,252.385,0,0.524,0.759,2,1,0.234,77.879,-4.714,0.104,0.0,0.168,0
94,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,75.0,273.186,0,0.695,0.768,6,1,0.813,123.054,-4.883,0.0426,0.0,0.0577,0
95,Taylor Swift,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,67.0,306.062,0,0.578,0.565,7,1,0.351,147.781,-8.064,0.0662,0.0,0.342,0
96,Taylor Swift,Lavender Haze,Midnights (The Til Dawn Edition),2023-05-26,78.0,202.395,1,0.735,0.449,7,0,0.0955,97.05,-10.56,0.132,0.00126,0.23,0
97,Taylor Swift,Maroon,Midnights (The Til Dawn Edition),2023-05-26,73.0,218.27,1,0.655,0.384,7,1,0.0384,108.058,-8.29,0.0973,1.45e-06,0.0634,0
98,Taylor Swift,Anti-Hero,Midnights (The Til Dawn Edition),2023-05-26,86.0,200.69,0,0.633,0.648,4,1,0.49,96.888,-6.645,0.161,2.62e-06,0.121,1
99,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),2023-05-26,74.0,256.124,1,0.663,0.321,9,1,0.153,110.021,-13.527,0.107,0.000598,0.701,0
100,Taylor Swift,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),2023-05-26,13.0,194.206,0,0.696,0.39,2,1,0.395,120.032,-10.331,0.125,1.55e-05,0.447,0
101,Taylor Swift,Midnight Rain,Midnights (The Til Dawn Edition),2023-05-26,78.0,174.782,0,0.604,0.375,0,1,0.203,137.651,-11.637,0.116,5.87e-05,0.71,0
102,Taylor Swift,Question...?,Midnights (The Til Dawn Edition),2023-05-26,67.0,210.556,1,0.654,0.51,7,1,0.105,108.874,-8.767,0.249,0.0,0.206,0
103,Taylor Swift,Vigilante Shit,Midnights (The Til Dawn Edition),2023-05-26,74.0,164.801,1,0.872,0.267,4,0,0.168,79.964,-10.764,0.123,2.18e-05,0.166,0
104,Taylor Swift,Bejeweled,Midnights (The Til Dawn Edition),2023-05-26,78.0,194.165,0,0.687,0.551,7,1,0.443,163.994,-9.202,0.09,0.000143,0.0593,0
105,Taylor Swift,Labyrinth,Midnights (The Til Dawn Edition),2023-05-26,71.0,247.962,0,0.48,0.295,0,1,0.132,110.018,-15.512,0.12,0.333,0.797,0
106,Taylor Swift,Karma,Midnights (The Til Dawn Edition),2023-05-26,81.0,204.852,1,0.64,0.619,8,1,0.121,90.008,-7.108,0.475,0.0,0.062,1
107,Taylor Swift,Sweet Nothing,Midnights (The Til Dawn Edition),2023-05-26,69.0,188.496,0,0.336,0.161,0,1,0.407,176.48,-14.973,0.115,0.00011,0.968,0
