,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_s,explicit,virality
406,0.506,0.208,11,-15.547,0,0.894,0.016,0.14,0.227,72.8,310.467,0,0
407,0.445,0.23,2,-13.849,1,0.95,3.29e-06,0.983,0.317,78.593,367.2,0,0
408,0.721,0.848,1,-3.991,1,0.0824,0.0,0.219,0.926,120.014,198.507,0,0
409,0.731,0.302,6,-11.384,0,0.751,0.000617,0.107,0.314,117.609,150.805,0,0
410,0.664,0.376,7,-10.536,1,0.137,1.93e-06,0.11,0.25,117.988,273.68,0,0
411,0.66,0.829,4,-7.395,0,0.0897,0.348,0.102,0.879,155.136,129.581,0,0
412,0.571,0.558,1,-7.021,1,0.176,0.0,0.126,0.441,139.511,200.227,0,0
413,0.693,0.405,2,-9.128,1,0.168,0.0,0.0978,0.89,128.313,300.382,0,0
414,0.536,0.538,0,-8.536,0,0.733,0.0,0.0979,0.438,90.083,275.017,0,0
415,0.556,0.656,0,-8.934,1,0.103,0.000152,0.283,0.599,125.921,207.72,0,0
416,0.574,0.991,10,-1.326,0,0.0756,0.0,0.0863,0.656,155.974,270.315,0,0
417,0.56,0.386,2,-10.486,0,0.674,0.0,0.19,0.722,151.859,156.393,0,0
418,0.892,0.896,1,-6.462,1,0.00923,0.0255,0.0419,0.394,127.963,330.133,0,0
419,0.817,0.794,8,-4.912,1,0.00344,0.00135,0.104,0.513,123.065,265.351,0,0
420,0.369,0.498,1,-6.765,1,0.369,0.00248,0.0733,0.47,84.139,170.547,0,0
421,0.707,0.561,2,-7.281,1,0.0324,0.0,0.044,0.681,130.01,201.2,0,0
422,0.346,0.963,9,-2.948,1,0.0697,0.0,0.758,0.47,166.0,273.317,0,0
423,0.404,0.662,11,-6.962,1,0.51,0.000594,0.11,0.59,176.102,231.083,0,0
424,0.723,0.504,8,-5.581,1,0.402,7.52e-05,0.0866,0.511,133.961,218.893,0,0
425,0.503,0.648,5,-8.215,1,0.195,0.4,0.337,0.295,108.015,270.0,0,0
426,0.688,0.628,3,-7.633,0,0.615,2.8e-05,0.131,0.577,110.031,383.376,0,0
427,0.667,0.725,9,-5.194,1,0.479,0.0,0.104,0.685,81.987,226.0,0,0
428,0.589,0.48,5,-9.863,1,0.712,4.78e-06,0.146,0.572,76.595,185.313,0,0
429,0.673,0.654,7,-13.511,1,0.294,0.000377,0.09,0.805,101.984,229.84,0,0
430,0.641,0.345,4,-12.549,1,0.686,0.0277,0.307,0.9,132.821,145.6,0,0
431,0.497,0.471,5,-8.848,1,0.241,0.0,0.0679,0.377,74.818,253.0,0,0
432,0.325,0.9,0,-6.916,1,0.108,7.63e-05,0.646,0.8,111.553,148.376,0,0
433,0.378,0.648,1,-12.757,1,0.754,5.64e-05,0.964,0.824,169.159,380.333,0,0
434,0.561,0.883,9,-6.897,0,0.0695,4.13e-05,0.118,0.636,106.07,174.8,0,0
435,0.736,0.466,8,-10.041,1,0.776,0.00432,0.0879,0.197,124.963,233.76,0,0
436,0.465,0.84,9,-10.933,0,0.000517,0.06,0.594,0.644,150.118,59.518,0,0
437,0.381,0.707,9,-8.466,0,0.135,0.0,0.247,0.327,98.061,384.84,0,0
438,0.554,0.614,6,-11.671,1,0.633,1.49e-05,0.195,0.896,88.047,375.827,0,0
439,0.378,0.656,3,-8.777,1,0.171,0.0,0.383,0.336,115.515,253.4,0,0
440,0.904,0.378,5,-10.784,0,0.324,0.00166,0.0865,0.794,132.951,174.243,1,0
441,0.774,0.983,9,-3.815,1,0.0706,0.00854,0.0307,0.705,141.0,245.64,0,0
442,0.49,0.85,3,-3.774,0,0.0221,0.0,0.173,0.252,127.997,190.171,0,0
443,0.46,0.463,2,-6.798,1,0.645,0.0,0.13,0.17,79.719,232.656,0,0
444,0.475,0.782,7,-4.601,1,0.472,0.0,0.244,0.645,137.643,319.411,0,0
445,0.725,0.859,6,-2.93,1,0.177,1.83e-06,0.621,0.787,169.885,322.117,0,0
446,0.602,0.512,11,-9.049,0,0.101,0.0,0.602,0.615,92.683,234.4,0,0
447,0.439,0.57,0,-8.996,1,0.673,0.0,0.127,0.436,79.387,192.453,0,0
448,0.794,0.732,2,-5.618,1,0.0767,0.0,0.0425,0.697,136.992,226.827,0,0
449,0.404,0.749,6,-3.706,1,0.658,0.0,0.322,0.66,168.022,205.484,0,0
450,0.662,0.627,7,-14.537,1,0.162,0.00823,0.623,0.613,112.75,300.507,0,0
451,0.704,0.499,6,-8.252,1,0.179,0.0,0.114,0.338,124.984,183.84,0,0
452,0.557,0.83,2,-10.334,1,0.13,4.16e-06,0.801,0.294,96.49,300.013,0,0
453,0.25,0.748,7,-6.19,1,0.00583,0.00102,0.322,0.16,149.835,291.2,0,0
454,0.483,0.647,3,-11.725,1,0.635,5.77e-05,0.122,0.747,148.148,244.556,0,0
455,0.746,0.326,4,-7.578,0,0.912,0.000591,0.0922,0.814,100.124,188.0,0,0
456,0.914,0.43,11,-10.482,0,0.674,0.0,0.214,0.891,93.97,167.877,0,0
457,0.782,0.698,1,-6.003,0,0.201,9.08e-06,0.092,0.574,79.998,178.5,0,0
458,0.727,0.884,11,-4.088,1,0.00535,0.000125,0.188,0.908,137.987,220.533,0,0
459,0.326,0.688,5,-5.69,1,0.356,0.0,0.141,0.496,169.95,296.307,0,0
460,0.795,0.538,5,-9.446,1,0.000505,9.02e-05,0.333,0.679,120.021,250.129,1,0
461,0.625,0.849,10,-6.96,0,0.0258,0.000281,0.923,0.778,164.856,321.045,0,0
462,0.672,0.701,7,-8.801,1,0.502,0.00594,0.108,0.821,150.849,238.422,0,0
463,0.463,0.307,2,-9.987,1,0.709,0.0,0.0353,0.685,185.92,157.013,0,0
464,0.516,0.96,11,-6.038,0,0.126,3.02e-06,0.44,0.757,173.048,301.767,0,0
465,0.473,0.366,5,-13.845,1,0.9,0.000564,0.743,0.676,73.063,161.747,0,0
466,0.794,0.809,1,-6.072,1,0.175,0.802,0.0878,0.435,111.035,168.543,0,0
467,0.639,0.494,2,-6.637,0,0.699,0.0835,0.21,0.518,119.963,223.295,0,0
468,0.412,0.596,5,-9.166,1,0.141,0.00497,0.0879,0.461,147.628,202.668,0,0
469,0.585,0.255,7,-13.44,1,0.794,0.00149,0.34,0.438,95.015,205.8,0,0
470,0.734,0.279,8,-10.027,1,0.993,0.000229,0.265,0.813,77.131,184.699,0,0
471,0.814,0.813,9,-2.978,1,0.282,0.0,0.231,0.841,96.628,295.827,0,0
472,0.418,0.608,6,-7.439,0,0.0408,0.0,0.351,0.336,85.812,201.727,0,0
473,0.662,0.631,7,-9.377,0,0.361,3.14e-05,0.113,0.942,171.713,332.414,0,0
474,0.785,0.578,0,-3.951,0,0.786,0.0,0.0741,0.711,138.799,173.213,0,0
475,0.588,0.608,9,-8.066,1,0.498,0.0,0.673,0.622,91.348,294.543,0,0
476,0.387,0.618,4,-4.813,1,0.717,0.0,0.313,0.53,75.507,230.747,0,0
477,0.62,0.79,10,-5.751,1,0.351,8.32e-05,0.125,0.842,110.029,121.104,0,0
478,0.838,0.707,8,-7.184,1,0.488,6.61e-05,0.152,0.961,107.031,223.608,0,0
479,0.675,0.573,10,-6.044,0,0.558,0.0,0.106,0.473,105.976,226.743,0,0
480,0.352,0.672,5,-6.611,0,0.781,1.61e-05,0.0887,0.226,140.269,285.307,0,0
481,0.437,0.33,0,-20.772,1,0.101,2.59e-05,0.0558,0.681,209.615,278.267,0,0
482,0.622,0.621,7,-3.799,0,0.225,0.0,0.191,0.148,108.06,279.2,0,0
483,0.552,0.307,6,-17.205,0,0.21,0.00241,0.0748,0.3,84.027,280.189,0,0
