,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,explicit
1172,0.272,0.76,7,-8.629,0,0.11,0.261,2.2e-06,0.0578,0.514,171.893,504808,4,0,2017-10-26,False
1173,0.272,0.76,7,-8.629,0,0.11,0.261,2.2e-06,0.0578,0.514,171.893,504808,4,0,2017-10-26,False
1174,0.272,0.76,7,-8.629,0,0.11,0.261,2.2e-06,0.0578,0.514,171.893,504808,4,0,2017-10-26,False
1175,0.652,0.246,5,-16.549,1,0.0332,0.807,0.515,0.0899,0.605,127.988,152573,4,0,2012-09-05,False
1176,0.652,0.246,5,-16.549,1,0.0332,0.807,0.515,0.0899,0.605,127.988,152573,4,0,2012-09-05,False
1177,0.652,0.246,5,-16.549,1,0.0332,0.807,0.515,0.0899,0.605,127.988,152573,4,0,2012-09-05,False
1178,0.652,0.246,5,-16.549,1,0.0332,0.807,0.515,0.0899,0.605,127.988,152573,4,0,2012-09-05,False
1179,0.559,0.335,1,-12.373,1,0.0292,0.898,0.00528,0.283,0.681,132.994,178496,4,0,1970,False
1180,0.559,0.335,1,-12.373,1,0.0292,0.898,0.00528,0.283,0.681,132.994,178496,4,0,1970,False
1181,0.559,0.335,1,-12.373,1,0.0292,0.898,0.00528,0.283,0.681,132.994,178496,4,0,1970,False
1182,0.559,0.335,1,-12.373,1,0.0292,0.898,0.00528,0.283,0.681,132.994,178496,4,0,1970,False
1183,0.245,0.265,4,-12.595,0,0.0284,0.675,0.0168,0.0914,0.0461,143.386,125926,4,0,1986-09-01,False
1184,0.245,0.265,4,-12.595,0,0.0284,0.675,0.0168,0.0914,0.0461,143.386,125926,4,0,1986-09-01,False
1185,0.245,0.265,4,-12.595,0,0.0284,0.675,0.0168,0.0914,0.0461,143.386,125926,4,0,1986-09-01,False
1186,0.245,0.265,4,-12.595,0,0.0284,0.675,0.0168,0.0914,0.0461,143.386,125926,4,0,1986-09-01,False
1187,0.504,0.372,9,-15.152,1,0.0297,0.186,0.0539,0.0985,0.238,149.642,249667,4,0,2014-05-01,False
1188,0.504,0.372,9,-15.152,1,0.0297,0.186,0.0539,0.0985,0.238,149.642,249667,4,0,2014-05-01,False
1189,0.504,0.372,9,-15.152,1,0.0297,0.186,0.0539,0.0985,0.238,149.642,249667,4,0,2014-05-01,False
1190,0.504,0.372,9,-15.152,1,0.0297,0.186,0.0539,0.0985,0.238,149.642,249667,4,0,2014-05-01,False
1191,0.722,0.926,6,-4.901,0,0.126,0.209,0.0,0.377,0.952,92.017,182883,4,0,2015-01-01,False
1192,0.722,0.926,6,-4.901,0,0.126,0.209,0.0,0.377,0.952,92.017,182883,4,0,2015-01-01,False
1193,0.722,0.926,6,-4.901,0,0.126,0.209,0.0,0.377,0.952,92.017,182883,4,0,2015-01-01,False
1194,0.722,0.926,6,-4.901,0,0.126,0.209,0.0,0.377,0.952,92.017,182883,4,0,2015-01-01,False
1195,0.563,0.67,4,-13.008,1,0.0289,0.0148,0.0011,0.329,0.961,121.507,145728,4,0,1981-07-01,False
1196,0.563,0.67,4,-13.008,1,0.0289,0.0148,0.0011,0.329,0.961,121.507,145728,4,0,1981-07-01,False
1197,0.563,0.67,4,-13.008,1,0.0289,0.0148,0.0011,0.329,0.961,121.507,145728,4,0,1981-07-01,False
1198,0.563,0.67,4,-13.008,1,0.0289,0.0148,0.0011,0.329,0.961,121.507,145728,4,0,1981-07-01,False
1199,0.391,0.81,7,-5.516,1,0.04,0.0553,0.0,0.235,0.682,122.541,145413,4,0,2022-09-16,False
1200,0.391,0.81,7,-5.516,1,0.04,0.0553,0.0,0.235,0.682,122.541,145413,4,0,2022-09-16,False
1201,0.391,0.81,7,-5.516,1,0.04,0.0553,0.0,0.235,0.682,122.541,145413,4,0,2022-09-16,False
1202,0.391,0.81,7,-5.516,1,0.04,0.0553,0.0,0.235,0.682,122.541,145413,4,0,2022-09-16,False
1203,0.565,0.543,10,-5.76,1,0.026,0.0411,0.0,0.133,0.187,116.042,226000,4,0,2017-10-20,False
1204,0.565,0.543,10,-5.76,1,0.026,0.0411,0.0,0.133,0.187,116.042,226000,4,0,2017-10-20,False
1205,0.565,0.543,10,-5.76,1,0.026,0.0411,0.0,0.133,0.187,116.042,226000,4,0,2017-10-20,False
1206,0.565,0.543,10,-5.76,1,0.026,0.0411,0.0,0.133,0.187,116.042,226000,4,0,2017-10-20,False
1207,0.528,0.558,6,-13.916,0,0.0742,0.225,2.04e-06,0.393,0.918,106.069,478563,4,0,2014-01-01,False
1208,0.528,0.558,6,-13.916,0,0.0742,0.225,2.04e-06,0.393,0.918,106.069,478563,4,0,2014-01-01,False
1209,0.528,0.558,6,-13.916,0,0.0742,0.225,2.04e-06,0.393,0.918,106.069,478563,4,0,2014-01-01,False
1210,0.528,0.558,6,-13.916,0,0.0742,0.225,2.04e-06,0.393,0.918,106.069,478563,4,0,2014-01-01,False
1211,0.703,0.609,2,-7.135,0,0.0385,0.423,0.129,0.0615,0.768,170.041,256250,4,1,2012-01-13,False
1212,0.703,0.609,2,-7.135,0,0.0385,0.423,0.129,0.0615,0.768,170.041,256250,4,1,2012-01-13,False
1213,0.703,0.609,2,-7.135,0,0.0385,0.423,0.129,0.0615,0.768,170.041,256250,4,1,2012-01-13,False
1214,0.703,0.609,2,-7.135,0,0.0385,0.423,0.129,0.0615,0.768,170.041,256250,4,1,2012-01-13,False
1215,0.457,0.356,0,-8.931,0,0.0289,0.629,0.169,0.123,0.498,145.982,218707,5,0,2003-01-01,False
1216,0.457,0.356,0,-8.931,0,0.0289,0.629,0.169,0.123,0.498,145.982,218707,5,0,2003-01-01,False
1217,0.457,0.356,0,-8.931,0,0.0289,0.629,0.169,0.123,0.498,145.982,218707,5,0,2003-01-01,False
1218,0.457,0.356,0,-8.931,0,0.0289,0.629,0.169,0.123,0.498,145.982,218707,5,0,2003-01-01,False
1219,0.531,0.212,4,-9.678,1,0.03,0.969,1.97e-06,0.0937,0.32,96.997,182000,3,0,2014-07-30,False
